"species","pop1","pop2","fst","dist","div","guild","behavior","dist_effect","div_effect","adjusted_fst"
"AKY","AUS","NCD",0.0397854621016706,2278.14876225475,8260.3625,"Generalist","Generalist",-0.010357775708544,-0.108593305233452,0.158736543043667
"CRP","FIJ","POL",0.14224855175114,3298.73185547098,92607.375,"Generalist","Generalist",-0.00512644114717857,0.0861785101447967,0.0611964827535219
"CRP","PAU","PNG",0,2264.9356147418,868.5775,"Generalist","Generalist",-0.0104255040451277,-0.125662213078122,0.136087717123249
"CRP","PAU","SOI",0,3193.36461365015,620.90375,"Generalist","Generalist",-0.00566653562594952,-0.126234134530693,0.131900670156642
"CRP","PNG","POL",0.228293541496946,6653.11071227284,105082.875,"Generalist","Generalist",0.0120675317513939,0.114986593688376,0.101239416057176
"CRP","PNG","SOI",0.00376880357385322,940.806106422237,232.98875,"Generalist","Generalist",-0.0172127656670761,-0.127129897243835,0.148111466484765
"CRP","PAU","FIJ",0.221716104868802,5689.6697476603,72053.75,"Generalist","Generalist",0.00712909797807934,0.0387166411917765,0.175870365698946
"CRP","PNG","FIJ",0.276942003371971,3431.59902579486,74330.125,"Generalist","Generalist",-0.00444538673347501,0.0439731841100175,0.237414205995429
"CRP","SOI","FIJ",0.291512415056827,2496.40157268031,73959.875,"Generalist","Generalist",-0.00923904909247174,0.0431182129319476,0.257633251217351
"CRP","SOI","POL",0.270072267385947,5714.80598530276,104639.75,"Generalist","Generalist",0.00725794203751531,0.11396334155257,0.148850983795861
"CLK","IDN","NCD",0.238456951886661,5117.17403588739,125102.5,"Generalist","Generalist",0.00419458277482131,0.16121536443994,0.0730470046718996
"CLK","IDN","PHI",0.00359044038506903,1390.93699877583,14241.5,"Generalist","Generalist",-0.0149054716211922,-0.0947818260313651,0.113277738037626
"CLK","IDN","PNG",0.259446972745901,2912.73021189924,122738.375,"Generalist","Generalist",-0.00710501962078149,0.155756191620617,0.110795800746066
"CLK","IDN","SOI",0.237447337402289,3856.53945963565,120687.375,"Generalist","Generalist",-0.00226721467394437,0.151020078491052,0.0886944735851807
"CLK","IDN","TAI",0.0261234974886755,2645.17866591837,22937,"Generalist","Generalist",-0.00847644313224264,-0.0747024151497815,0.1093023557707
"CLK","MDV","NCD",0.439122308253462,10421.1676965493,129326.25,"Generalist","Generalist",0.0313819480513154,0.170968732470655,0.236771627731491
"CLK","MDV","PHI",0.233757426141662,5518.57356943069,111523.5,"Generalist","Generalist",0.00625208820157067,0.12985910886395,0.0976462290761414
"CLK","MDV","PNG",0.405269271306794,8519.09853647924,128477.5,"Generalist","Generalist",0.0216322665199228,0.169008822173865,0.214628182613007
"CLK","MDV","SOI",0.414509659104395,9441.39797230416,126456.25,"Generalist","Generalist",0.0263598158460182,0.164341406930992,0.223808436327385
"CLK","MDV","TAI",0.252810687685558,5555.08852647423,112698.375,"Generalist","Generalist",0.00643925763251496,0.132572098095104,0.113799331957939
"CLK","MDV","THA",0.155106565670888,2826.13300985979,40182.75,"Generalist","Generalist",-0.00754890208263855,-0.034879000715756,0.197534468469283
"CLK","PHI","PNG",0.358098683551931,3551.38896052132,122584.5,"Generalist","Generalist",-0.00383136399509768,0.155400867677266,0.206529179869762
"CLK","PHI","SOI",0.275621405941601,4481.92948025656,120523.125,"Generalist","Generalist",0.000938427719069548,0.150640796881335,0.124042181341197
"CLK","PHI","TAI",0.0241348415263748,1255.93163925619,22392.625,"Generalist","Generalist",-0.0155974860273872,-0.0759594710176054,0.115691798571367
"CLK","PNG","SOI",0.0161674844181495,953.263692539994,6627.95,"Generalist","Generalist",-0.0171489102091108,-0.112362827551402,0.145679222178662
"CLK","MDV","IDN",0.18444277912734,5623.58343109423,112004.875,"Generalist","Generalist",0.00679035081071649,0.130970686854073,0.0466817414625502
"CLK","THA","IDN",0.197281134449352,2913.49014530544,114074.5,"Generalist","Generalist",-0.00710112433198177,0.135749808324466,0.068632450456868
"CLK","PHI","NCD",0.287589976219609,5980.64457162388,124866.625,"Generalist","Generalist",0.0086205852104329,0.160670688338313,0.118298702670863
"CLK","PNG","NCD",0.17295718113277,2461.26550669887,31679.625,"Generalist","Generalist",-0.00941915056342584,-0.0545141845065058,0.236890516202702
"CLK","SOI","NCD",0.173707813812448,1649.99791085453,29984.75,"Generalist","Generalist",-0.0135775696484235,-0.0584279435218498,0.245713326982721
"CLK","TAI","NCD",0.303590649101188,6926.25577020301,125642.5,"Generalist","Generalist",0.0134676266494127,0.162462317677368,0.127660704774407
"CLK","THA","NCD",0.436986541582657,7981.90186462149,131392.5,"Generalist","Generalist",0.0188786881641578,0.175740060483314,0.242367792935185
"CLK","THA","PHI",0.260946718574824,2703.34702283715,113102.75,"Generalist","Generalist",-0.00817828207318756,0.133505869790261,0.135619130857751
"CLK","TAI","PNG",0.372451728642579,4465.73621361555,123466.25,"Generalist","Generalist",0.000855423801011722,0.1574369806719,0.214159324169668
"CLK","THA","PNG",0.389488435617565,5820.11297576771,130501.25,"Generalist","Generalist",0.00779772767813042,0.173682010348392,0.208008697591042
"CLK","TAI","SOI",0.290122757505285,5328.53762910348,121370.75,"Generalist","Generalist",0.00527799644055353,0.152598109358881,0.132246651705851
"CLK","THA","SOI",0.417360985249063,6768.05653179963,128473.75,"Generalist","Generalist",0.012656724382912,0.169000162776383,0.235704098089768
"CLK","THA","TAI",0.278000902985883,2980.35368872974,112771.875,"Generalist","Generalist",-0.0067583932325388,0.132741822285754,0.152017473932668
"AKA","KNY","MDG",0.030342749368365,1807.77483383827,252.21875,"RM specialist","Specialist",-0.0127688320986081,-0.127085491853547,0.17019707332052
"AKA","KNY","MYT",0.00982663059241947,1257.99609311091,238.37125,"RM specialist","Specialist",-0.0155869039896557,-0.127117468121983,0.152531002704058
"AKA","KNY","THA",0.0862935963152081,6489.3930854967,3040.5125,"RM specialist","Specialist",0.0112283431689535,-0.12064684015269,0.195712093298945
"AKA","MDG","THA",0.0905195819331703,6419.92327503552,2351.8625,"RM specialist","Specialist",0.0108722527899802,-0.12223705190631,0.2018843810495
"AKA","MYT","THA",0.0855113572932957,6328.43822534092,3041.5875,"RM specialist","Specialist",0.0104033160561692,-0.120644357792078,0.195752399029205
"AKA","KNY","IDN",0.0824355204953971,7713.45464272117,1635.1875,"RM specialist","Specialist",0.0175026735709666,-0.12389197822378,0.18882482514821
"AKA","MDG","IDN",0.132150634002753,7089.39018264465,1680.425,"RM specialist","Specialist",0.014303825774821,-0.123787517025487,0.241634325253419
"AKA","MYT","IDN",0.0807291329586981,7184.45369387876,1637.275,"RM specialist","Specialist",0.014791105091076,-0.123887157825848,0.18982518569347
"AKA","THA","IDN",0.026147056097667,2013.31379071313,1892.1125,"RM specialist","Specialist",-0.0117152745235772,-0.12329869403762,0.161161024658864
"AKA","MYT","MDG",0.0200191798865571,557.734183431727,245.36875,"RM specialist","Specialist",-0.0191763268935449,-0.127101309686281,0.166296816466383
"PRD","AUS","NCD",0.0854772461317908,1758.88524564405,4747.425,"RM specialist","Specialist",-0.01301943177453,-0.116705284471428,0.215201962377749
"PRD","IDN","NCD",0.124673019069701,5520.26967512201,18695.125,"RM specialist","Specialist",0.00626078214955169,-0.0844976369349942,0.202909873855144
"PRD","IDN","AUS",0.219620549289298,3764.94183491581,19744.375,"RM specialist","Specialist",-0.00273672844810049,-0.0820747375194918,0.304432015256891
"PRD","THA","AUS",0.181165469414059,6235.30389883929,27770.5,"RM specialist","Specialist",0.0099259254112369,-0.0635410290884701,0.234780573091292
"PRD","THA","IDN",0.0678486739675857,2656.83071451998,2538.1125,"RM specialist","Specialist",-0.00841671672195279,-0.12180696849803,0.198072359187569
"PRD","THA","NCD",0.162874090496725,7927.17862934019,20208.625,"RM specialist","Specialist",0.0185981862099909,-0.081002704111203,0.225278608397937
"MEL","AUS","NCD",0.154204847649115,2019.76341017295,9386.8875,"EQ specialist","Specialist",-0.0116822148761932,-0.105991964500501,0.271879027025809
"MEL","IDN","NCD",0.182734952049905,5429.84654638467,34488.375,"EQ specialist","Specialist",0.0057972886411302,-0.0480282957923838,0.224965959201159
"MEL","IDN","AUS",0.260266341778853,3411.21428632459,17661.875,"EQ specialist","Specialist",-0.0045498754251103,-0.0868835895879062,0.351699806791869
"POL","THA","IDN",0.393014851913152,2649.1699331518,13762.25,"SD specialist","Specialist",-0.00845598457834274,-0.0958884970295824,0.497359333521078
"SAN","IDN","PNG",0.133499769857103,2918.96118300975,28875.375,"SD specialist","Specialist",-0.00707308072747829,-0.0609896819436492,0.201562532528231
"SAN","IDN","SOI",0.225676397405012,3841.7160587022,21950,"SD specialist","Specialist",-0.00234319689443732,-0.0769815685670805,0.305001162866529
"SAN","PNG","SOI",0.0138746467071916,927.232605823311,719.89875,"SD specialist","Specialist",-0.0172823411120094,-0.126005537983028,0.157162525802229
"SAN","IDN","AUS",0.061975003576402,2507.94523092684,1091.05625,"SD specialist","Specialist",-0.00917987827262271,-0.125148471230767,0.196303353079792
"SAN","PNG","AUS",0.119140451556015,4934.74713894588,21155.75,"SD specialist","Specialist",0.00325949367013576,-0.0788156289537975,0.194696586839677
"SAN","SOI","AUS",0.288480206912826,5749.21199884032,21088.125,"SD specialist","Specialist",0.00743430138437715,-0.0789717867550587,0.360017692283508
